date,Temperature,Humidity,Light,CO2,HumidityRatio,year,month,day,hour,minute,second
2015-02-02 14:19:00,23.7,26.272,585.2,749.2,0.0047641630241641395,2015,2,2,14,19,0
2015-02-02 14:20:00,23.718000000000004,26.29,578.4,760.4,0.00477266099212519,2015,2,2,14,20,0
2015-02-02 14:21:00,23.73,26.23,572.666666666667,769.666666666667,0.00476515255246541,2015,2,2,14,21,0
2015-02-02 14:22:00,23.7225,26.125,493.75,774.75,0.00474377335599685,2015,2,2,14,22,0
2015-02-02 14:23:00,23.754,26.2,488.6,779.0,0.00476659399998615,2015,2,2,14,23,0
2015-02-02 14:24:00,23.76,26.26,568.666666666667,790.0,0.00477933243163454,2015,2,2,14,24,0
2015-02-02 14:25:00,23.73,26.29,536.333333333333,798.0,0.004776136332748921,2015,2,2,14,25,0
2015-02-02 14:26:00,23.754,26.29,509.0,797.0,0.00478309370839038,2015,2,2,14,26,0
2015-02-02 14:27:00,23.754,26.35,476.0,803.2,0.0047940939966204105,2015,2,2,14,27,0
2015-02-02 14:28:00,23.736,26.39,510.0,809.0,0.00479618871038935,2015,2,2,14,28,0
2015-02-02 14:29:00,23.745,26.445,481.5,815.25,0.00480888622067716,2015,2,2,14,29,0
2015-02-02 14:30:00,23.7,26.56,481.8,824.0,0.0048167933677358,2015,2,2,14,30,0
2015-02-02 14:31:00,23.7,26.6,475.25,832.0,0.0048241038367487395,2015,2,2,14,31,0
2015-02-02 14:32:00,23.7,26.7,469.0,845.333333333333,0.0048423807553356285,2015,2,2,14,32,0
2015-02-02 14:33:00,23.7,26.774,464.0,852.4,0.00485590636128976,2015,2,2,14,33,0
2015-02-02 14:34:00,23.7,26.89,464.0,861.0,0.00487710983719076,2015,2,2,14,34,0
2015-02-02 14:35:00,23.7,26.9725,455.0,880.0,0.004892190768364,2015,2,2,14,35,0
2015-02-02 14:36:00,23.6,26.89,454.0,891.0,0.00484759441396992,2015,2,2,14,36,0
2015-02-02 14:37:00,23.64,26.976,458.0,897.6,0.0048750447811301,2015,2,2,14,37,0
2015-02-02 14:38:00,23.65,27.05,464.0,900.5,0.0048914915892962285,2015,2,2,14,38,0
2015-02-02 14:39:00,23.64,27.1,473.0,908.8,0.004897630243458229,2015,2,2,14,39,0
2015-02-02 14:40:00,23.6,27.16,464.0,918.0,0.00489665184522539,2015,2,2,14,40,0
2015-02-02 14:41:00,23.6,27.236,498.4,925.2,0.00491046198855591,2015,2,2,14,41,0
2015-02-02 14:42:00,23.6,27.29,530.2,929.4,0.0049202748285747,2015,2,2,14,42,0
2015-02-02 14:43:00,23.6,27.33,533.6,936.4,0.00492754379701558,2015,2,2,14,43,0
2015-02-02 14:44:00,23.6,27.34,524.25,950.0,0.0049293610654639,2015,2,2,14,44,0
2015-02-02 14:45:00,23.625,27.3925,498.666666666667,961.0,0.00494640574744149,2015,2,2,14,45,0
2015-02-02 14:46:00,23.6,27.39,516.333333333333,963.0,0.00493844756573873,2015,2,2,14,46,0
2015-02-02 14:47:00,23.6,27.412,501.2,958.6,0.00494244570930318,2015,2,2,14,47,0
2015-02-02 14:48:00,23.6,27.5,522.0,965.333333333333,0.00495843879351724,2015,2,2,14,48,0
2015-02-02 14:49:00,23.6,27.525,520.5,979.25,0.00496298243218165,2015,2,2,14,49,0
2015-02-02 14:50:00,23.6,27.6,505.28571428571405,978.428571428571,0.0049766137433226295,2015,2,2,14,50,0
2015-02-02 14:51:00,23.6,27.6,488.333333333333,983.0,0.0049766137433226295,2015,2,2,14,51,0
2015-02-02 14:52:00,23.6,27.54,512.0,992.6,0.00496570864699156,2015,2,2,14,52,0
2015-02-02 14:53:00,23.6,27.6,511.0,997.2,0.0049766137433226295,2015,2,2,14,53,0
2015-02-02 14:54:00,23.6166666666667,27.6333333333333,501.5,999.5,0.00498771842139186,2015,2,2,14,54,0
2015-02-02 14:55:00,23.6666666666667,27.7,503.666666666667,1001.0,0.00501505086095386,2015,2,2,14,55,0
